434,Ruvell Martin,BUF,30,14,0,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,WR,4,,167,
435,Greg Camarillo,NOR,30,5,0,0,0,0,0,0,0,0,,0,5,4,44,11.00,0,WR,4,,164,
438,Arrelious Benn,TAM,24,8,1,0,0,0,0,0,3,16,5.33,0,6,4,26,6.50,0,WR,4,,166,
439,Charly Martin,SEA,28,4,1,0,0,0,0,0,0,0,,0,6,4,42,10.50,0,WR,4,,165,
443,Jerrel Jernigan,NYG,23,9,0,0,0,0,0,0,1,6,6.00,0,5,3,22,7.33,0,WR,3,,172,
444,Jarrett Boykin,GNB,23,10,0,0,0,0,0,0,0,0,,0,6,5,27,5.40,0,WR,3,,173,
445,Kris Adams,IND,25,3,0,0,0,0,0,0,0,0,,0,8,2,26,13.00,0,WR,3,,175,
448,Andre Caldwell,DEN,27,8,0,0,0,0,0,0,1,14,14.00,0,4,1,18,18.00,0,WR,3,,169,
449,Jermaine Kearse,SEA,22,7,1,0,0,0,0,0,0,0,,0,7,3,31,10.33,0,WR,3,,171,
450,Deonte Thompson,BAL,23,6,0,0,0,0,0,0,0,0,,0,6,5,51,10.20,0,WR,3,,170,
454,Eric Weems,CHI,27,16,1,0,0,0,0,0,0,0,,0,4,2,27,13.50,0,WR,3,,174,
470,Mardy Gilyard,2TM,26,8,0,0,0,0,0,0,0,0,,0,6,2,15,7.50,0,WR,2,,178,
472,Dezmon Briscoe,WAS,23,7,0,0,0,0,0,0,1,1,1.00,0,5,2,22,11.00,0,WR,2,,177,
475,Chris Owusu,TAM,22,5,0,0,0,0,0,0,0,0,,0,4,1,24,24.00,0,WR,2,,176,
482,Dane Sanzenbacher,2TM,24,7,2,0,0,0,0,0,0,0,,0,,1,7,7.00,0,WR,1,,185,
485,Isaiah Stanback,JAX,28,6,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,WR,1,,189,
486,David Gilreath,PIT,24,3,0,0,0,0,0,0,1,7,7.00,0,2,0,0,,0,WR,1,,186,
487,Preston Parker,TAM,25,2,0,0,0,0,0,0,1,7,7.00,0,2,0,0,,0,WR,1,,187,
488,LaRon Byrd,ARI,23,4,0,0,0,0,0,0,0,0,,0,2,1,8,8.00,0,WR,1,,184,
489,Courtney Roby,NOR,29,13,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,WR,1,,183,
490,Andre Holmes,DAL,24,7,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,WR,1,,182,
491,Anthony Armstrong,2TM,29,6,0,0,0,0,0,0,0,0,,0,,3,12,4.00,0,WR,1,,181,
492,Jordan White,NYJ,24,3,0,0,0,0,0,0,0,0,,0,3,1,13,13.00,0,WR,1,,180,
493,Sammie Stroughter,TAM,26,2,0,0,0,0,0,0,0,0,,0,2,1,14,14.00,0,WR,1,,179,
502,Austin Collie,IND,27,1,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,WR,1,,188,
576,Legedu Naanee,MIA,29,4,1,0,0,0,0,0,0,0,,0,5,1,19,19.00,0,WR,,,249,
578,Trindon Holliday,2TM,26,15,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,WR,,,250,
579,Nathan Palmer,IND,23,5,0,0,0,0,0,0,0,0,,0,4,1,-4,-4.00,0,WR,,,251,
675,Ted Ginn,SFO,27,13,0,0,0,0,0,0,1,7,7.00,0,2,2,1,0.50,0,WR,-1,,252,
679,Joe Adams,CAR,23,9,0,0,0,0,0,0,3,13,4.33,0,1,1,7,7.00,0,WR,-4,,253,
