,,,,,,,,,
,,,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy
Rk,,Age,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt
420,Matt Slater*,26,3,1,46,46,0,WR,5
421,LaQuan Williams,23,12,4,46,11.5,0,WR,5
422,Deon Butler,25,7,6,51,8.5,0,WR,5
423,Stefan Logan,30,1,1,19,19,0,WR,5
424,Sammie Stroughter,25,7,4,52,13,0,WR,5
425,Armando Allen,22,1,0,0,,0,RB,5
426,Mike Caussin,24,6,5,41,8.2,0,TE,4
427,Andrew Quarless,23,4,3,36,12,0,TE,4
428,Kyle Boller,30,0,0,0,,0,QB,4
429,Jeff Cumberland,24,5,2,35,17.5,0,TE,4
430,Zack Pianalto,22,5,4,40,10,0,TE,4
431,Will Heller,30,12,6,42,7,0,TE,4
432,Julian Edelman,25,9,4,34,8.5,0,WR,4
433,DeMarco Sampson,26,8,3,36,12,0,WR,4
434,Devin Thomas,25,3,3,37,12.33,0,WR,4
435,Chansi Stuckey,28,8,4,39,9.75,0,WR,4
436,Taylor Price,24,4,2,39,19.5,0,WR,4
437,Owen Schmitt,26,7,3,32,10.67,0,RB,4
438,Kassim Osgood,31,11,5,42,8.4,0,WR,4
439,Owen Marecic,23,7,5,31,6.2,0,RB,4
440,Jerious Norwood,28,1,0,0,,0,RB,4
441,Montell Owens*,27,3,2,2,1,0,RB,4
442,Tony Fiammetta,25,5,3,39,13,0,RB,4
443,Stephen Burton,22,3,2,38,19,0,WR,4
444,Jerome Harrison,28,2,1,3,3,0,RB,4
445,Johnny White,23,4,1,-3,-3,0,RB,4
446,Bilal Powell,23,1,1,7,7,0,RB,3
447,Quinn Johnson,25,3,3,30,10,0,RB,3
448,J.P. Losman,30,0,0,0,,0,QB,3
449,Jon Kitna,39,0,0,0,,0,QB,3
450,Manase Tonga,27,4,3,18,6,0,RB,3
451,Lawrence Vickers,28,8,4,29,7.25,0,RB,3
452,Da'Rel Scott,23,2,2,13,6.5,0,RB,3
453,Brian Robiskie,24,,3,25,8.33,0,WR,3
454,Carlton Mitchell,23,4,3,31,10.33,0,WR,3
455,Adrian Arrington,26,3,2,31,15.5,0,WR,3
456,Niles Paul,22,5,2,25,12.5,0,WR,3
457,Jim Dray,25,5,2,25,12.5,0,TE,3
458,Anthony Becht,34,4,3,26,8.67,0,TE,3
459,Kory Sperry,26,5,1,32,32,0,TE,3
460,Kevin Brock,25,2,2,27,13.5,0,TE,3
461,Jordan Cameron,23,13,6,33,5.5,0,TE,3
462,Marc Mariani,24,12,5,24,4.8,0,WR,3
463,Kris Durham,23,4,3,30,10,0,WR,3
464,Ryan Whalen,22,5,4,27,6.75,0,WR,3
465,Tiquan Underwood,24,6,3,30,10,0,WR,3
466,Bryan Walters,24,4,3,27,9,0,WR,3
467,Mark Clayton,29,4,3,26,8.67,0,WR,3
468,David Thomas,28,9,5,16,3.2,0,TE,2
469,Justin Peelle,32,4,1,19,19,0,TE,2
470,Virgil Green,23,5,3,24,8,0,TE,2
